name,population,latitude,longitude,maxnoise
Holland Drive,14230,1.3077174,103.7936434,68.2842182165299
Kent Ridge,1080,1.2933012,103.7844127,67.02651656495053
Margaret Drive,10520,1.3014583,103.8014392,68.14929398500807
Mei Chin,16750,1.2911956,103.8016206,67.46020150399838
One North,620,1.2996073,103.7872407,67.50834951913714
Pasir Panjang 1,4010,1.2888336,103.7756574,66.46412111068983
Pasir Panjang 2,3520,1.2888336,103.7756574,66.46412111068983
Port,140,1.408495,103.8609948,109.83293387806228
Queensway,280,1.308069,103.8025128,68.6608304991441
Singapore Polytechnic,160,1.30913695,103.778143658071,67.69541124566828
Tanglin Halt,13160,1.2980714,103.798402550261,67.81425816720363
River Valley,9190,1.340863,103.830391822121,72.96383073410412
Institution Hill,3380,1.2950892,103.8395466,68.51051291883695
Leonie Hill,2450,1.2996815,103.8324203,68.80306551535165
One Tree Hill,1840,1.3004434,103.8249584,68.73284506045964
Oxley,1380,1.2962681,103.840827005664,68.6165773135267
Paterson,150,1.30030955,103.830616423022,68.82671587785498
Rochor,14590,1.3039839,103.8526118,69.31319173799798
Bencoolen,1460,1.2990161,103.850475248058,69.14164016015818
Farrer Park,3130,1.3127545,103.8543738,70.1243055197699
Kampong Glam,170,1.30128,103.8599267,69.83287617224664
Little India,3850,1.3074571,103.8525724,69.62762736670089
Mackenzie,110,1.3058532,103.8480346,69.47959903721963
Rochor Canal,10,1.3038431,103.8528609,69.30020576686019
Selegie,270,1.3027586,103.8502417,69.20659745395221
Sungei Road,2420,1.3047849,103.8565878,69.45583736440823
Seletar,270,1.4098488,103.8773789,87.46580127299211
Pulau Punggol Barat,0,1.4251234,103.8789977,91.40972115044111
Pulau Punggol Timor,0,1.4198936,103.8904904,83.58334255587204
Seletar,260,1.4098488,103.8773789,87.46580127299211
Seletar Aerospace Park,20,1.4163503,103.8724617,96.25262209658146
Sembawang,76530,1.4480646,103.8207604,76.29001308992596
Admiralty,14410,1.4406369,103.8009592,74.2110147276164
Sembawang Central,29140,1.4480646,103.8207604,76.29001308992596
Sembawang East,90,1.4480646,103.8207604,76.29001308992596
Sembawang North,26860,1.4480646,103.8207604,76.29001308992596
Sembawang Springs,4290,1.4405369,103.826076671701,78.08898181369801
Sembawang Straits,1700,1.458458,103.837404618567,77.57884853626742
Senoko North,20,1.4602965,103.8052452,73.16696815952179
Senoko South,20,1.4602965,103.8052452,73.16696815952179
The Wharves,0,1.46437295,103.829644322919,75.78637113134894
Sengkang,206680,1.3909487,103.8951748,77.64562528003908
Anchorvale,38040,1.38927895,103.887639999679,78.99459427097892
Compassvale,18510,1.394518,103.9004349,77.09810124283953
Fernvale,35590,1.3904635,103.8770826,81.74596821342148
Lorong Halus North,0,1.3831229,103.922492,72.9701245271573
Rivervale,59860,1.38062345,103.898400807354,75.87569402156117
