name,population,latitude,longitude,maxnoise
Balestier,32340,1.326226,103.8473149,75.68077168340471
Dunearn,3900,1.3210897,103.827867312987,75.19207817196863
Malcolm,2630,1.3244852,103.8344062,75.50836834172316
Moulmein,8470,1.3193745,103.8535398,76.47018707942293
Orchard,920,1.305272,103.8328757,73.78044968287216
Boulevard,400,1.340863,103.830391822121,76.40918049962755
Somerset,130,1.3002901,103.838501,74.42167594024166
Tanglin,390,1.3060443,103.8152804,73.97646786669925
Outram,22080,1.2828695,103.8378603,74.25019125304829
China Square,1590,1.2834925,103.8465903,75.54296992791615
Chinatown,11880,1.2837372,103.8437976,75.1221366713778
Pearl's Hill,8230,1.28442085,103.841552797121,74.79966937644761
People's Park,390,1.2858105,103.8441598,75.21069767364922
Pasir Ris,139890,1.3759799,103.954254551031,79.01662135310025
Flora Drive,12950,1.3599271,103.9650379,85.16443406906652
Loyang East,2190,1.3753678,103.9772924,88.76896804104355
Loyang West,200,1.3753678,103.9772924,88.76896804104355
Pasir Ris Central,25730,1.3719016,103.9499677,78.65040355153236
Pasir Ris Drive,59480,1.3759799,103.954254551031,79.01662135310025
Pasir Ris Park,2980,1.37898635,103.950379788546,78.75327517422608
Pasir Ris West,36330,1.3759799,103.954254551031,79.01662135310025
Paya Lebar,40,1.3538993,103.887820526624,84.25162761758047
Airport Road,0,1.3376284,103.8962049,92.41154505180714
Paya Lebar East,10,1.3538993,103.887820526624,84.25162761758047
Paya Lebar North,20,1.3538993,103.887820526624,84.25162761758047
Paya Lebar West,0,1.3538993,103.887820526624,84.25162761758047
Pioneer,100,1.3375884,103.6974104,84.30702026297622
Benoi Sector,0,1.322022,103.6872516,81.09325448357288
Gul Circle,30,1.3159115,103.662305,76.06409160565815
Joo Koon,40,1.3264794,103.6720703,77.98821192000217
Pioneer Sector,0,1.3018135,103.6639546,76.17737865584671
Punggol,109750,1.398033,103.9073312,83.84636974470384
Coney Island,0,1.40941835,103.921469998714,83.48565163894405
Matilda,30440,1.40174085,103.891146137516,80.58193144029224
Northshore,280,1.41787695,103.901299302842,79.85700164656275
Punggol Canal,0,1.398033,103.9073312,83.84636974470384
Punggol Field,43300,1.3930598,103.9137421,85.90745959979502
Punggol Town Centre,7390,1.398033,103.9073312,83.84636974470384
Waterway East,28340,1.40876875,103.896819099971,80.83587374657318
Queenstown,98050,1.2946235,103.8060454,73.1177287505797
Commonwealth,8130,1.3024428,103.7983085,73.66780900477198
Dover,13200,1.3114214,103.7786275,75.36796403172708
Ghim Moh,11900,1.311558,103.788797,74.40060356529591
Holland Drive,14230,1.3077174,103.7936434,73.9227612645411
Kent Ridge,1080,1.2933012,103.7844127,73.25747533285897
Margaret Drive,10520,1.3014583,103.8014392,73.61945797639525
Mei Chin,16750,1.2911956,103.8016206,72.87964419829237
One North,620,1.2996073,103.7872407,73.51879372158051
Pasir Panjang 1,4010,1.2888336,103.7756574,73.63002062624912
Pasir Panjang 2,3520,1.2888336,103.7756574,73.63002062624912
Port,140,1.408495,103.8609948,109.83293387806228
Queensway,280,1.308069,103.8025128,74.05932073659085
Singapore Polytechnic,160,1.30913695,103.778143658071,75.1932256347337
Tanglin Halt,13160,1.2980714,103.798402550261,73.37855261809855
River Valley,9190,1.340863,103.830391822121,76.40918049962755
Institution Hill,3380,1.2950892,103.8395466,74.62821480764633
Leonie Hill,2450,1.2996815,103.8324203,73.58809016483876
One Tree Hill,1840,1.3004434,103.8249584,73.44084401424647
Oxley,1380,1.2962681,103.840827005664,74.81325944852631
Paterson,150,1.30030955,103.830616423022,73.35174456369307
Rochor,14590,1.3039839,103.8526118,76.60794498851706
Bencoolen,1460,1.2990161,103.850475248058,76.31385693193694
Farrer Park,3130,1.3127545,103.8543738,76.76878221085218
Kampong Glam,170,1.30128,103.8599267,77.99536402541067
Little India,3850,1.3074571,103.8525724,76.54259921173285
Mackenzie,110,1.3058532,103.8480346,75.79234168176022
Rochor Canal,10,1.3038431,103.8528609,76.6543929716315
Selegie,270,1.3027586,103.8502417,76.21668067142684
Sungei Road,2420,1.3047849,103.8565878,77.31990189727041
Seletar,270,1.4098488,103.8773789,87.46580127299211
Pulau Punggol Barat,0,1.4251234,103.8789977,91.40972115044111
Pulau Punggol Timor,0,1.4198936,103.8904904,83.58334255587204
Seletar,260,1.4098488,103.8773789,87.46580127299211
Seletar Aerospace Park,20,1.4163503,103.8724617,96.25262209658146
Sembawang,76530,1.4480646,103.8207604,81.38553195277952
Admiralty,14410,1.4406369,103.8009592,83.9353612831735
Sembawang Central,29140,1.4480646,103.8207604,81.38553195277952
Sembawang East,90,1.4480646,103.8207604,81.38553195277952
Sembawang North,26860,1.4480646,103.8207604,81.38553195277952
Sembawang Springs,4290,1.4405369,103.826076671701,82.66152199023065
Sembawang Straits,1700,1.458458,103.837404618567,77.57884853626742
Senoko North,20,1.4602965,103.8052452,78.18505959295435
Senoko South,20,1.4602965,103.8052452,78.18505959295435
The Wharves,0,1.46437295,103.829644322919,76.4559349732848
Sengkang,206680,1.3909487,103.8951748,82.0997625849716
Anchorvale,38040,1.38927895,103.887639999679,80.96867815330091
Compassvale,18510,1.394518,103.9004349,82.83396060981828
Fernvale,35590,1.3904635,103.8770826,81.74596821342148
Lorong Halus North,0,1.3831229,103.922492,93.04032007906491
Rivervale,59860,1.38062345,103.898400807354,83.8877800846554
Sengkang Town Centre,54680,1.3909487,103.8951748,82.0997625849716
Sengkang West,10,1.3909487,103.8951748,82.0997625849716
Serangoon,120670,1.363236,103.8744617,79.46271810246469
Lorong Chuan,8390,1.3541321,103.8651253,78.45905943857868
