Name,Population,Latitude,Longitude
Institution Hill,3380,1.2950892,103.8395466
Leonie Hill,2450,1.2996815,103.8324203
One Tree Hill,1840,1.3004434,103.8249584
Oxley,1380,1.2962681,103.840827005664
Paterson,150,1.30030955,103.830616423022
Rochor,14590,1.3039839,103.8526118
Bencoolen,1460,1.2990161,103.850475248058
Farrer Park,3130,1.3127545,103.8543738
Kampong Glam,170,1.30128,103.8599267
Little India,3850,1.3074571,103.8525724
Mackenzie,110,1.3058532,103.8480346
Rochor Canal,10,1.3038431,103.8528609
Selegie,270,1.3027586,103.8502417
Sungei Road,2420,1.3047849,103.8565878
Seletar,270,1.4098488,103.8773789
Pulau Punggol Barat,0,1.4251234,103.8789977
Pulau Punggol Timor,0,1.4198936,103.8904904
Seletar,260,1.4098488,103.8773789
Seletar Aerospace Park,20,1.4163503,103.8724617
Sembawang,76530,1.4480646,103.8207604
Admiralty,14410,1.4406369,103.8009592
Sembawang Central,29140,1.4480646,103.8207604
Sembawang East,90,1.4480646,103.8207604
Sembawang North,26860,1.4480646,103.8207604
Sembawang Springs,4290,1.4405369,103.826076671701
Sembawang Straits,1700,1.458458,103.837404618567
Senoko North,20,1.4602965,103.8052452
Senoko South,20,1.4602965,103.8052452
The Wharves,0,1.46437295,103.829644322919
Sengkang,206680,1.3909487,103.8951748
Anchorvale,38040,1.38927895,103.887639999679
Compassvale,18510,1.394518,103.9004349
Fernvale,35590,1.3904635,103.8770826
Lorong Halus North,0,1.3831229,103.922492
Rivervale,59860,1.38062345,103.898400807354
Sengkang Town Centre,54680,1.3909487,103.8951748
Sengkang West,10,1.3909487,103.8951748
Serangoon,120670,1.363236,103.8744617
Lorong Chuan,8390,1.3541321,103.8651253
Seletar Hills,13580,1.3854637,103.8656683
Serangoon Central,26480,1.3475734,103.8748122
Serangoon Garden,39180,1.3624579,103.8660127
Serangoon North,17490,1.3713383,103.8727563
Upper Paya Lebar,15540,1.3538993,103.887820526624
Simpang,0,1.4452954,103.8497425
Pulau Seletar,0,1.44378625,103.861596991664
Simpang North,0,1.4452954,103.8497425
Simpang South,0,1.4452954,103.8497425
Singapore River,2720,1.28917835,103.84515431766
Boat Quay,180,1.2856828,103.8507661
Clarke Quay,130,1.2903938,103.8454241
Robertson Quay,2420,1.29040905,103.83812675642
Southern Islands,1480,1.2710889,103.86328
Sentosa,1470,1.24894585,103.834305641593
Straits View,0,1.2782163,103.8525322
Straits View,0,1.2782163,103.8525322
Sungei Kadut,850,1.4149971,103.7533106
Gali Batu,130,1.3965351,103.774025
Kranji,20,1.4252189,103.7619891
Pang Sua,20,1.3941182,103.7524794
Reservoir View,20,1.340863,103.830391822121
Turf Club,660,1.4220553,103.764182069032
Tampines,261230,1.3546528,103.9435712
Simei,42710,1.3432581,103.9542015
Tampines East,138500,1.3560253,103.955001
Tampines North,0,1.3678134,103.9374096
Tampines West,78110,1.3454122,103.9385357
Xilin,1920,1.3290801,103.965004
Tanglin,19000,1.3060443,103.8152804
Chatsworth,5740,1.29902585,103.8248887572
Nassim,8340,1.30659285,103.822992054526
Ridout,1400,1.3060771,103.8033316
Tyersall,3520,1.3117371,103.812435
Tengah,10,1.3669017,103.7108456
Tengah,10,1.3669017,103.7108456
Toa Payoh,124940,1.3353906,103.8497414
Bidadari,10,1.3352618,103.87216677548
Boon Teck,15110,1.3261225,103.8494543
Braddell,10760,1.3402775,103.8614324
Joo Seng,6720,1.3355302,103.8833207
Kim Keat,8610,1.3294271,103.8532782
Lorong 8 Toa Payoh,8220,1.3363982,103.8597569
Pei Chun,11780,1.33707015,103.855686352513
Potong Pasir,12650,1.3341893,103.8670929
Sennett,4540,1.33198165,103.874479159811
Toa Payoh Central,30740,1.334272,103.8468546
Toa Payoh West,13360,1.3351603,103.8408909
Woodleigh,2440,1.3391966,103.8707535
Tuas,70,1.3293722,103.6482364
Tengeh,0,1.34623395,103.646593424376
Tuas Bay,20,1.3293722,103.6482364
Tuas North,20,1.3293722,103.6482364
Tuas View,10,1.3293722,103.6482364
Western Islands,0,1.24066895,104.201771658282
Semakau,0,1.20358545,103.769847592456
Sudong,0,1.2080635,103.719488623156
Western Water Catchment,900,1.3664522,103.6810305
Western Water Catchment,900,1.3664522,103.6810305
Woodlands,250290,1.436897,103.786216
Midview,35510,1.33940175,103.756891640277
Senoko West,20,1.4602965,103.8052452
Woodgrove,35850,1.42913595,103.781250348102
Woodlands East,95510,1.436897,103.786216
Woodlands Regional Centre,0,1.436897,103.786216
Woodlands South,35840,1.4252493,103.7710242
Woodlands West,32890,1.436897,103.786216
Yishun,201970,1.428136,103.8336942
Khatib,10850,1.4173597,103.8330179
Lower Seletar,2870,1.411265,103.852135855657
Nee Soon,900,1.40961385,103.814648830065
Northland,30380,1.43571045,103.840719473428
Springleaf,3880,1.398315,103.818057261069
Yishun Central,1490,1.4304311,103.835527
Yishun East,54880,1.428136,103.8336942
Yishun South,38840,1.428136,103.8336942
Yishun West,57890,1.428136,103.8336942
